Savannah Sparrow,,,,,2,,,,,,,,9,
Fox Sparrow,5,2,2,,20,,3,2,1,,7,1,3,3
Song Sparrow,13,5,2,2,1,1,2,3,3,1,8,2,5,3
Lincoln's Sparrow,,,,,3,2,,,,1,,,16,
Golden-crowned Sparrow,89,96,89,10,112,55,158,99,50,81,73,74,54,115
White-crowned Sparrow,,2,,,6,,34,,4,1,4,9,2,14
Oregon Dark-eyed Junco,114,379,90,54,185,182,140,107,48,144,173,138,74,221
Slate-colored Dark-eyed Junco,1,3,3,,1,,5,,,1,1,,1,
Western Meadowlark,,,,,,1,,,2,,,,,
Red-winged Blackbird,,,,,,,,,,,,,1,
Brewer's Blackbird,,3,,3,2,1,,6,5,9,27,,15,7
Purple Finch,,3,,,1,1,2,,,2,,1,1,7
Cassin's Finch,,,3,,,,1,3,6,1,,,,
Red Crossbill,,,,,,,,1,,,1,,,1
Pine Siskin,,5,,56,18,2,1,25,186,9,,,2,163
Lesser Goldfinch,6,1,53,27,29,6,5,9,,28,2,12,,7
Evening Grosbeak,,,,6,,,,,,,,,,
House Sparrow,2,,2,,,,1,7,2,1,9,4,3,5
unknown duck,,,,,,,2,,,,,,,
unknown hawk,2,,,,,,1,,,,,,,
unknown accipiter,,3,,,,,,1,1,1,,1,,
unknown raptor,,,,,,,1,,,,1,,,
unknown sapsucker,,,,,,,,,,,,1,,
unknown finch,,,,,,,,,,1,,,,
# individuals,977,3028,1771,1333,2584,2258,2754,2354,1962,1846,2508,2368,1781,2375
# species,51,65,59,57,70,64,69,68,62,70,69,68,68,67
# participants,11,32,48,20,42,41,63,56,35,45,44,40,43,18.5
